County,Year,Grades Pre-K,Grades K-5,Grades 6-8,Grades 9-12,Unemploy_Value,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
St. Mary's County,2018,956,7793,4093,5157,8661.0,112779.0,1.0,36.0,57.0,155.0,446.0,1391.0,76.0,2162.0,249.0,1913.0
St. Mary's County,2019,945,7779,4123,5236,7698.0,112993.0,1.0,29.0,46.0,155.0,333.0,1476.0,71.0,2111.0,231.0,1880.0
St. Mary's County,2020,522,7400,4076,5248,12475.0,114031.0,7.0,24.0,38.0,146.0,249.0,1194.0,86.0,1744.0,215.0,1529.0
Talbot County,2010,246,1936,907,1415,89240.0,36717.0,2.0,7.0,18.0,54.0,175.0,680.0,22.0,958.0,81.0,877.0
Talbot County,2011,268,1986,935,1358,81053.0,38140.0,0.0,6.0,23.0,56.0,227.0,664.0,31.0,1007.0,85.0,922.0
Talbot County,2012,293,1993,931,1353,71507.0,38392.0,0.0,13.0,18.0,58.0,242.0,610.0,18.0,959.0,89.0,870.0
Talbot County,2013,238,2004,974,1321,67295.0,38253.0,1.0,9.0,15.0,48.0,194.0,459.0,11.0,737.0,73.0,664.0
Talbot County,2014,258,2031,1007,1334,58422.0,38020.0,0.0,7.0,16.0,78.0,161.0,617.0,21.0,900.0,101.0,799.0
Talbot County,2015,224,2045,1002,1354,50631.0,37473.0,0.0,10.0,25.0,52.0,148.0,524.0,14.0,773.0,87.0,686.0
Talbot County,2016,271,1966,970,1386,44696.0,37221.0,0.0,18.0,16.0,49.0,150.0,544.0,14.0,791.0,83.0,708.0
Talbot County,2017,238,1988,996,1424,40899.0,37156.0,0.0,8.0,11.0,35.0,155.0,507.0,14.0,730.0,54.0,676.0
Talbot County,2018,278,1953,1015,1428,38714.0,36698.0,1.0,14.0,18.0,33.0,106.0,466.0,10.0,648.0,66.0,582.0
Talbot County,2019,251,1929,1048,1475,33754.0,36673.0,1.0,13.0,11.0,52.0,73.0,382.0,9.0,541.0,77.0,464.0
Talbot County,2020,232,1850,1025,1417,57216.0,36983.0,0.0,14.0,9.0,86.0,71.0,290.0,7.0,477.0,109.0,368.0
Washington County,2010,538,10018,5059,6591,60129.0,148210.0,0.0,25.0,115.0,306.0,692.0,2145.0,191.0,3474.0,446.0,3028.0
Washington County,2011,485,10048,5037,6670,59988.0,148828.0,2.0,9.0,97.0,342.0,862.0,2213.0,153.0,3678.0,450.0,3228.0
Washington County,2012,489,10185,5011,6718,56175.0,149634.0,3.0,21.0,104.0,259.0,809.0,2038.0,214.0,3448.0,387.0,3061.0
Washington County,2013,510,10214,5095,6676,51852.0,149938.0,6.0,18.0,121.0,243.0,785.0,2153.0,166.0,3492.0,388.0,3104.0
Washington County,2014,554,10044,5059,6670,45843.0,150339.0,6.0,24.0,153.0,296.0,809.0,2195.0,231.0,3714.0,479.0,3235.0
Washington County,2015,579,10031,5087,6606,40117.0,149573.0,9.0,30.0,121.0,293.0,809.0,1974.0,175.0,3411.0,453.0,2958.0
Washington County,2016,644,10120,5071,6710,36334.0,149090.0,3.0,27.0,147.0,273.0,834.0,2121.0,227.0,3632.0,450.0,3182.0
Washington County,2017,676,10015,5062,6842,33961.0,150632.0,9.0,35.0,168.0,360.0,616.0,1774.0,230.0,3192.0,572.0,2620.0
Washington County,2018,871,9853,5214,6743,31905.0,149781.0,8.0,44.0,136.0,399.0,590.0,2019.0,171.0,3367.0,587.0,2780.0
Washington County,2019,1128,9793,5297,6775,27870.0,150576.0,3.0,43.0,118.0,333.0,531.0,1596.0,151.0,2775.0,497.0,2278.0
Washington County,2020,797,9210,5157,6775,43038.0,150927.0,8.0,49.0,84.0,336.0,362.0,1277.0,133.0,2249.0,477.0,1772.0
Wicomico County,2010,572,6810,2998,4002,43614.0,95757.0,10.0,32.0,183.0,505.0,1124.0,2604.0,139.0,4597.0,730.0,3867.0
Wicomico County,2011,654,6806,3046,4014,43919.0,99669.0,4.0,25.0,106.0,448.0,893.0,2381.0,111.0,3968.0,583.0,3385.0
Wicomico County,2012,611,6911,3031,3936,39979.0,100148.0,5.0,30.0,148.0,371.0,764.0,2490.0,108.0,3916.0,554.0,3362.0
Wicomico County,2013,591,6925,2974,3941,38703.0,101431.0,3.0,38.0,142.0,321.0,837.0,2420.0,111.0,3872.0,504.0,3368.0
Wicomico County,2014,574,7003,2980,3988,35020.0,101594.0,2.0,31.0,101.0,319.0,673.0,2662.0,96.0,3884.0,453.0,3431.0
Wicomico County,2015,587,7105,3014,4084,31666.0,101897.0,7.0,43.0,126.0,300.0,636.0,2587.0,96.0,3795.0,476.0,3319.0
Wicomico County,2016,599,7102,3046,4142,27093.0,102475.0,5.0,25.0,148.0,321.0,542.0,2366.0,96.0,3503.0,499.0,3004.0
Wicomico County,2017,665,7080,2985,4223,25404.0,103135.0,9.0,31.0,124.0,344.0,560.0,2343.0,114.0,3525.0,508.0,3017.0
Wicomico County,2018,646,7021,3078,4204,24436.0,102673.0,3.0,33.0,99.0,318.0,455.0,2163.0,103.0,3174.0,453.0,2721.0
Wicomico County,2019,734,7036,3222,4211,22153.0,103219.0,1.0,36.0,77.0,312.0,392.0,1925.0,89.0,2832.0,426.0,2406.0
Wicomico County,2020,470,6492,3264,4128,32897.0,103796.0,3.0,32.0,91.0,370.0,253.0,1360.0,93.0,2202.0,496.0,1706.0
Worcester County,2010,368,2740,1455,2136,406372.0,49645.0,4.0,13.0,45.0,199.0,491.0,1817.0,48.0,2617.0,261.0,2356.0
Worcester County,2011,389,2748,1411,2095,378394.0,51942.0,1.0,7.0,28.0,212.0,423.0,1852.0,41.0,2564.0,248.0,2316.0
Worcester County,2012,391,2791,1463,2005,357080.0,52011.0,1.0,16.0,31.0,138.0,432.0,1751.0,33.0,2402.0,186.0,2216.0
Worcester County,2013,383,2855,1420,1991,341072.0,51718.0,2.0,14.0,28.0,173.0,356.0,1705.0,55.0,2333.0,217.0,2116.0
Worcester County,2014,380,2805,1473,1996,296871.0,51756.0,1.0,14.0,35.0,140.0,445.0,1754.0,38.0,2427.0,190.0,2237.0
Worcester County,2015,388,2830,1407,2035,260576.0,51566.0,1.0,15.0,27.0,102.0,273.0,1562.0,28.0,2008.0,145.0,1863.0
Worcester County,2016,354,2838,1450,2025,220868.0,51255.0,3.0,17.0,39.0,93.0,289.0,1514.0,32.0,1987.0,152.0,1835.0
Worcester County,2017,357,2864,1428,2035,209432.0,51408.0,2.0,26.0,43.0,106.0,220.0,1514.0,39.0,1950.0,177.0,1773.0
Worcester County,2018,402,2864,1500,2044,194654.0,51304.0,0.0,12.0,24.0,88.0,215.0,1178.0,34.0,1551.0,124.0,1427.0
Worcester County,2019,432,2921,1508,2021,170551.0,51606.0,0.0,12.0,24.0,94.0,186.0,1086.0,30.0,1432.0,130.0,1302.0
Worcester County,2020,351,2744,1538,2078,286313.0,52191.0,1.0,31.0,39.0,163.0,189.0,1085.0,28.0,1536.0,234.0,1302.0
